,userId,movieId,rating,timestamp
3,244,51,2,880606923
6,115,265,2,881171488
9,6,86,3,883603013
10,62,257,2,879372434
16,122,387,5,879270459
24,308,1,4,887736532
28,63,277,4,875747401
55,72,679,2,880037164
60,115,20,3,881171009
71,243,15,3,879987440
72,92,1049,1,890251826
96,62,498,4,879373848
97,62,382,3,879375537
100,32,294,3,883709863
106,250,496,4,878090499
107,271,132,5,885848672
114,58,144,4,884304936
116,271,346,4,885844430
117,62,21,3,879373460
126,72,195,5,880037702
128,250,264,3,878089182
135,250,140,3,878092059
138,244,815,4,880605185
146,244,756,2,880605157
160,85,427,3,879456350
163,121,514,3,891387947
167,155,323,2,879371261
168,68,117,4,876973939
182,18,443,3,880130193
186,26,258,3,891347949
198,26,930,2,891385985
200,92,1079,3,886443455
203,72,48,4,880036718
206,15,405,2,879455957
207,92,77,3,875654637
210,232,483,5,888549622
221,58,1098,4,884304936
231,6,14,5,883599249
244,229,328,1,891632142
247,62,65,4,879374686
249,92,172,4,875653271
253,63,242,3,875747190
256,250,7,4,878089716
268,214,334,3,891542540
269,192,476,2,881368243
273,307,89,5,879283786
277,297,133,4,875240090
283,85,507,4,879456199
287,193,96,1,889124507
295,123,427,3,879873020
299,302,322,2,879436875
315,154,357,4,879138713
318,302,303,2,879436785
319,244,673,3,880606667
329,184,218,3,889909840
332,184,153,3,889911285
335,184,321,5,889906967
346,308,1197,4,887739521
348,133,751,3,890588547
350,69,256,5,882126156
353,104,984,1,888442575
354,63,1067,3,875747514
361,18,26,4,880129731
362,92,229,3,875656201
363,308,649,4,887739292
370,271,199,4,885848448
371,271,709,3,885849325
378,177,333,4,880130397
381,271,378,4,885849447
390,21,558,5,874951695
395,308,402,4,887740700
396,308,640,4,887737036
401,121,291,3,891390477
406,104,117,2,888465972
418,263,176,5,891299752
419,244,186,3,880605697
426,297,716,3,875239422
430,64,392,3,889737542
431,92,501,2,875653665
446,239,56,4,889179478
449,250,238,4,878089963
458,92,587,3,875660408
468,85,259,2,881705026
469,250,596,5,878089921
483,214,568,4,892668197
488,72,1110,3,880037334
489,115,1067,4,881171009
491,116,350,3,886977926
492,73,480,4,888625753
494,263,419,5,891299514
496,221,475,4,875244204
497,72,182,5,880036515
505,184,187,4,889909024
506,63,289,2,875746985
509,235,185,4,889655435
510,62,712,4,879376178
513,63,762,3,875747688
515,92,168,4,875653723
517,307,174,4,879283480
520,72,54,3,880036854
524,193,869,3,889127811
531,129,873,1,883245452
533,64,381,4,879365491
536,193,879,3,889123257
541,21,370,1,874951293
547,308,427,4,887736584
548,221,943,4,875246759
555,192,1061,4,881368891
558,193,941,4,889124890
561,244,265,4,880606634
566,21,222,2,874951382
568,280,508,3,891700453
572,72,699,3,880036783
574,308,55,3,887738760
578,26,1015,3,891352136
581,62,12,4,879373613
586,217,597,4,889070087
589,308,81,5,887737293
590,75,284,2,884050393
592,307,94,3,877122695
594,121,740,3,891390544
599,239,1099,5,889179253
603,271,1028,2,885848102
605,69,240,3,882126156
612,6,98,5,883600680
613,243,1039,4,879988184
623,107,333,3,891264267
627,244,17,2,880607205
630,62,1016,4,879373008
632,214,478,4,891544052
635,280,631,5,891700751
642,15,749,1,879455311
644,280,540,3,891702304
645,244,381,4,880604077
664,92,794,3,875654798
667,92,739,2,876175582
672,18,86,4,880129731
675,193,407,4,889127921
685,72,866,4,880035887
688,308,295,3,887741461
694,244,707,4,880606243
697,263,96,4,891298336
704,205,304,3,888284313
708,15,25,3,879456204
717,92,515,4,875640800
718,239,1070,5,889179032
720,248,234,4,884534968
722,280,1049,2,891702486
723,308,187,5,887738760
725,192,948,3,881368302
726,122,509,4,879270511
727,85,588,3,880838306
732,263,568,4,891299387
742,217,2,3,889069782
746,146,1022,5,891458193
764,232,52,5,888550130
768,235,230,4,889655162
777,62,68,1,879374969
780,85,51,2,879454782
782,58,1099,2,892243079
791,221,1010,3,875246662
803,108,100,4,879879720
812,92,121,5,875640679
813,21,440,1,874951798
814,244,550,1,880602264
819,244,183,4,880606043
825,239,272,5,889181247
828,62,665,2,879376483
839,64,736,4,889739212
843,69,268,5,882027109
845,21,129,4,874951382
846,58,9,4,884304328
858,235,70,5,889655619
863,255,1034,1,883217030
864,104,301,2,888442275
866,6,463,4,883601713
870,297,57,5,875239383
876,244,310,3,880601905
877,6,301,2,883600406
881,104,285,4,888465201
882,21,447,5,874951695
884,18,408,5,880129628
888,68,237,5,876974133
890,6,258,2,883268278
894,184,412,2,889912691
898,221,48,5,875245462
909,85,1065,3,879455021
917,68,742,1,876974198
926,72,568,4,880037203
927,85,228,3,882813248
929,92,831,2,886443708
947,308,1286,3,887738151
955,17,13,3,885272654
959,21,164,5,874951695
961,239,491,5,889181015
963,297,89,4,875239125
966,73,206,3,888625754
967,104,756,2,888465739
969,239,194,5,889178833
971,280,1,4,891700426
977,239,513,5,889178887
978,6,69,3,883601277
980,85,642,4,882995615
982,184,522,3,889908462
987,214,131,3,891544465
991,217,182,2,889070109
992,85,433,3,879828720
993,239,234,3,889178762
1002,62,182,5,879375169
1019,239,9,5,889180446
1021,297,73,2,875239691
1033,244,172,4,880605665
1037,244,790,4,880608037
1038,26,125,4,891371676
1040,124,496,1,890286933
1042,271,65,3,885849419
1043,307,634,3,879283385
1049,75,240,1,884050661
1058,72,234,4,880037418
1065,149,319,2,883512658
1068,176,875,4,886047442
1072,121,180,3,891388286
1073,62,86,2,879374640
1081,297,275,5,874954260
1085,308,59,4,887737647
1086,193,1078,4,889126943
1087,297,234,3,875239018
1089,250,204,2,878091682
1103,62,302,3,879371909
1111,62,59,4,879373821
1114,63,100,5,875747319
1116,297,233,2,875239914
1118,85,25,2,879452769
1122,104,299,3,888442436
1124,184,98,4,889908539
1126,248,589,4,884534968
1127,18,950,3,880130764
1128,217,27,1,889070011
1134,69,427,3,882145465
1135,72,196,4,880036747
1142,308,516,4,887736743
1145,308,436,4,887739257
1147,64,1063,3,889739539
1150,21,324,4,874950889
1159,75,237,2,884050309
1160,199,221,4,883782854
1162,297,25,4,874954497
1173,6,517,4,883602212
1175,214,117,4,891543241
1176,184,602,4,889909691
1181,6,23,4,883601365
1188,21,948,1,874951054
1191,206,302,5,888180227
1193,76,61,4,875028123
1201,248,117,5,884535433
1207,239,96,5,889178798
1208,15,331,3,879455166
1214,280,845,3,891700925
1217,307,949,4,877123315
1219,116,331,3,876451911
1221,308,174,4,887736696
1229,122,378,4,879270769
1232,154,242,3,879138235
1241,244,53,3,880607489
1242,250,196,4,878091818
1247,122,510,4,879270327
1256,176,324,5,886047292
1257,3,335,1,889237269
1272,214,137,4,891543227
1273,92,747,4,875656164
1275,58,173,5,884305353
1276,244,154,5,880606385
1286,248,257,3,884535840
1287,297,432,4,875239658
1295,214,213,4,891544414
1297,104,287,2,888465347
